Region,Office,Client ID,Client Status,Loan Status,Client Score,Status Date
South Rift AgriBiz,Ndunyu Njeru,85119.0,New,P+I Current,,2021-02-28
South Rift Region,Nakuru,2005.0,Dormant,Penalties,44.83,2018-09-30
Eastern Region,Wote,69865.0,Dormant,Penalties,50.65,2020-11-30
Western Region,Bungoma,55339.0,Dormant,Penalties,60.71,2020-07-31
South Rift Region,Kericho,38049.0,Dormant,Penalties,0.15,2019-06-30
South Rift Region,Narok,33391.0,Dormant,Penalties,0.94,2019-04-30
North Rift Region,Iten,53675.0,Dormant,Penalties,35.24,2020-05-31
North Rift Region,Eldoret3,16893.0,Active,Penalties,26.21,2020-12-31
Nairobi Region,Kiambu,35681.0,Dormant,Penalties,46.78,2019-05-31
North Rift Region,Kitale,24807.0,Dormant,Penalties,36.94,2019-02-28
Coast Region,Voi,49227.0,Dormant,Penalties,0.24,2020-02-29
Nairobi Region,Ngong Road,11331.0,Dormant,Penalties,23.84,2018-02-28
Western Region,Kisumu,76644.0,Active,Penalties,48.92,2020-09-30
North Rift Region,Eldoret1,21440.0,Dormant,Penalties,16.01,2018-08-31
Western Region,Kisumu,51243.0,Inactive,Pending Renewal,,2019-03-31
Nairobi Region,Kariobangi,65896.0,Dormant,Penalties,0.15,2020-09-30
South Rift Region,Narok,24222.0,Dormant,Penalties,42.52,2018-12-31
Nairobi Region,Ngong Road,8899.0,Dormant,Pending Renewal,38.02,2017-06-30
Nairobi Region,Limuru,60987.0,Dormant,Penalties,31.97,2020-10-31
Nairobi Region,Rongai,26147.0,Dormant,Pending Renewal,36.66,2018-11-30
Nairobi Region,Kariobangi,9157.0,Dormant,Penalties,37.23,2019-01-31
North Rift Region,Eldoret3,14585.0,Dormant,Penalties,63.69,2018-08-31
Nairobi Region,Kariobangi,672.0,Dormant,Penalties,35.83,2016-04-30
South Rift Region,Molo,55017.0,Dormant,Penalties,0.15,2020-04-30
Nairobi Region,Embakasi,4855.0,Dormant,Penalties,30.75,2017-04-30
South Rift Region,Bomet,47577.0,Dormant,Penalties,38.67,2020-07-31
Coast Region,Malindi,39888.0,Dormant,Penalties,0.15,2019-07-31
North Rift Region,Eldoret2,42633.0,Dormant,Penalties,50.46,2021-02-28
North Rift Region,Kapsabet,22451.0,Dormant,Penalties,48.74,2020-02-29
Nairobi Region,Kahawa,43144.0,Dormant,Penalties,40.88,2019-11-30
Eastern Region,Matuu,64281.0,Dormant,Penalties,28.66,2020-10-31
North Rift Region,Kitale,24807.0,Dormant,Penalties,36.94,2019-02-28
Coast Region,Voi,49227.0,Dormant,Penalties,0.24,2020-02-29
Nairobi Region,Ngong Road,11331.0,Dormant,Penalties,23.84,2018-02-28
Western Region,Kisumu,76644.0,Active,Penalties,48.92,2020-09-30
North Rift Region,Eldoret1,21440.0,Dormant,Penalties,16.01,2018-08-31
South Rift Region,Naivasha,8185.0,Dormant,Penalties,35.64,2017-07-31
North Rift Region,Eldoret3,19654.0,Dormant,Penalties,65.92,2018-09-30
South Rift Region,Narok,31273.0,Dormant,Pending Renewal,28.3,2019-04-30
South Rift Region,Bomet,35029.0,Dormant,Penalties,4.35,2019-05-31
South Rift AgriBiz,Londiani,77326.0,Active,P+I Current,76.08,2021-02-28
South Rift AgriBiz,Nakuru AgriBiz,40901.0,Dormant,Penalties,55.53,2021-02-28
South Rift AgriBiz,Londiani,57825.0,Active,Pending Renewal,68.24,2021-02-28
South Rift Region,Kericho,74600.0,Dormant,Penalties,5.37,2020-12-31
South Rift Region,Litein,34014.0,Dormant,Pending Renewal,0.39,2019-04-30
Western Region,Mumias,75269.0,Dormant,Penalties,26.32,2020-10-31
South Rift Region,Narok,83323.0,Active,P+I In Default,57.14,2021-02-28
North Rift Region,Eldoret3,57219.0,Dormant,Penalties,8.9,2020-05-31
North Rift Region,Iten,44145.0,Dormant,Penalties,35.17,2019-12-31
Western Region,Mumias,72736.0,Dormant,Penalties,28.65,2021-02-28
Central AgriBiz,Githunguri,82501.0,Active,P+I In Default,,2021-01-31
South Rift Region,Nakuru,30751.0,Inactive,Pending Renewal,,2018-03-31
Coast Region,Mtwapa,84493.0,New,Penalties,,2021-02-28
North Rift Region,Nandi Hills,43895.0,Dormant,Penalties,27.6,2019-10-31
Coast Region,Mtwapa,38256.0,Dormant,Penalties,31.1,2019-08-31
North Rift Region,Kitale,44942.0,Dormant,Penalties,68.27,2020-09-30
Coast Region,Mtwapa,83215.0,Active,P+I In Default,10.06,2021-02-28
Nairobi Region,Thika,6362.0,Dormant,Penalties,38.15,2020-04-30
North Rift Region,Kitale,24807.0,Dormant,Penalties,36.94,2019-02-28
Coast Region,Voi,49227.0,Dormant,Penalties,0.24,2020-02-29
Nairobi Region,Ngong Road,11331.0,Dormant,Penalties,23.84,2018-02-28
Western Region,Kisumu,76644.0,Active,Penalties,48.92,2020-09-30
North Rift Region,Eldoret1,21440.0,Dormant,Penalties,16.01,2018-08-31
Coast Region,Mombasa,76901.0,Active,Penalties,74.14,2020-11-30
Nairobi Region,Rongai,66779.0,Dormant,Penalties,28.88,2020-09-30
North Rift Region,Eldoret2,37427.0,Dormant,Penalties,31.58,2019-07-31
Coast Region,Mtwapa,19372.0,Dormant,Penalties,52.55,2018-09-30
South Rift AgriBiz,Maili Nne,38781.0,Dormant,Pending Renewal,57.06,2020-02-29
Nairobi Region,Kariobangi,71817.0,Dormant,Penalties,30.56,2021-02-28
Nairobi Region,Rongai,52683.0,Dormant,Penalties,44.3,2020-03-31
South Rift AgriBiz,Ndunyu Njeru,17357.0,Dormant,P+I In Default,,2019-09-30
Nairobi Region,Embakasi,37594.0,Dormant,Penalties,39.22,2020-03-31
South Rift Region,Litein,58267.0,Dormant,Penalties,0.5,2020-06-30
North Rift Region,Eldoret1,19356.0,Dormant,Penalties,25.48,2018-06-30
Nairobi Region,Kariobangi,7605.0,Dormant,Penalties,32.63,2019-04-30
Nairobi Region,Embakasi,4427.0,Dormant,Penalties,46.76,2017-01-31
Eastern Region,Machakos,51274.0,Active,Penalties,44.32,2020-11-30
Nairobi Region,Ngong Road,3279.0,Dormant,Penalties,17.51,2017-04-30
Nairobi Region,Embakasi,11692.0,Dormant,Penalties,25.64,2018-01-31
Nairobi Region,Kariobangi,618.0,Dormant,Penalties,43.55,2019-08-31
Western Region,Bondo,84777.0,New,P+I Current,,2021-02-28
North Rift Region,Iten,45264.0,Dormant,Penalties,0.15,2019-10-31
North Rift Region,Kitale,10206.0,Dormant,Penalties,43.78,2019-10-31
Nairobi Region,Kiambu,3924.0,Dormant,Pending Renewal,14.71,2016-04-30
North Rift Region,Iten,23597.0,Dormant,Penalties,40.47,2019-02-28
North Rift Region,Eldoret2,24599.0,Dormant,Penalties,19.47,2018-11-30
Nairobi Region,Embakasi,15367.0,Dormant,Penalties,36.4,2018-06-30
Western Region,Bungoma,50914.0,Dormant,Penalties,30.98,2020-06-30
North Rift Region,Kapsabet,35513.0,Dormant,Penalties,21.33,2019-05-31
Nairobi Region,Thika,8556.0,Active,Penalties,55.5,2021-02-28
North Rift Region,Eldoret3,85901.0,New,P+I Current,,2021-02-28
South Rift Region,Nakuru,21235.0,Dormant,Penalties,38.86,2018-11-30
Western Region,Kisumu,75882.0,Dormant,Penalties,32.51,2021-01-31
North Rift Region,Eldoret2,29592.0,Dormant,Penalties,2.95,2019-03-31
South Rift Region,Naivasha,2364.0,Dormant,Pending Renewal,47.65,2016-10-31
Nairobi Region,Kariobangi,655.0,Dormant,Pending Renewal,66.2,2016-02-29
Western Region,Kisumu,67579.0,Dormant,Penalties,0.15,2020-10-31
Nairobi Region,Ngong Road,63254.0,Dormant,Penalties,49.1,2020-09-30
South Rift AgriBiz,Ndunyu Njeru,34995.0,Dormant,P+I In Default,14.61,2020-03-31
South Rift AgriBiz,Ndunyu Njeru,71505.0,Active,P+I Current,64.72,2021-02-28
South Rift Region,Kericho,53651.0,Dormant,Penalties,33.23,2020-04-30
South Rift AgriBiz,Maili Nne,56434.0,Active,P+I In Default,64.01,2021-02-28
Coast Region,Malindi,66387.0,Dormant,Penalties,8.9,2020-09-30
Nairobi Region,Thika,86021.0,New,P+I Current,,2021-02-28
Nairobi Region,Embakasi,22796.0,Dormant,Penalties,35.16,2018-08-31
Eastern Region,Kitui,55891.0,Dormant,Pending Renewal,28.26,2020-05-31
South Rift AgriBiz,Keringet,63886.0,Dormant,Pending Renewal,82.0,2021-02-28
Nairobi Region,Kariobangi,65969.0,Dormant,Penalties,38.0,2020-12-31
South Rift Region,Kericho,76671.0,Dormant,Penalties,29.34,2021-02-28
Eastern Region,Wote,74488.0,Dormant,Penalties,11.47,2020-10-31
Western Region,Mbale,68809.0,Dormant,Pending Renewal,57.35,2020-10-31
Nairobi Region,Limuru,50503.0,Dormant,Penalties,0.15,2020-02-29
